"DATE_NAME","GEOGRAPHY_CODE","GEOGRAPHY_NAME","OBS_VALUE"
"2017","W01000541","Ceredigion 008E",1762
"2017","W01000542","Ceredigion 011F",2147
"2017","W01000543","Ceredigion 011C",1939
"2017","W01000544","Ceredigion 007C",985
"2017","W01000545","Ceredigion 007D",2074
"2017","W01000546","Ceredigion 009F",1143
"2017","W01000547","Ceredigion 009G",1104
"2017","W01000548","Ceredigion 001D",1816
"2017","W01000549","Ceredigion 001E",1716
"2017","W01000550","Ceredigion 011G",1177
"2017","W01000551","Ceredigion 010E",1314
"2017","W01000552","Ceredigion 011D",2073
"2017","W01000553","Pembrokeshire 011A",1211
"2017","W01000554","Pembrokeshire 009A",1865
"2017","W01000555","Pembrokeshire 008A",1482
"2017","W01000556","Pembrokeshire 008B",1179
"2017","W01000557","Pembrokeshire 014A",1460
"2017","W01000558","Pembrokeshire 001A",2143
"2017","W01000559","Pembrokeshire 001B",1476
"2017","W01000560","Pembrokeshire 001C",1288
"2017","W01000561","Pembrokeshire 001D",1422
"2017","W01000562","Pembrokeshire 002A",1678
"2017","W01000563","Pembrokeshire 011B",1149
"2017","W01000564","Pembrokeshire 011C",1309
"2017","W01000565","Pembrokeshire 002B",1929
"2017","W01000566","Pembrokeshire 002C",1484
"2017","W01000567","Pembrokeshire 002D",2090
"2017","W01000568","Pembrokeshire 005A",2364
"2017","W01000569","Pembrokeshire 005B",1287
"2017","W01000570","Pembrokeshire 005C",1569
"2017","W01000571","Pembrokeshire 006A",2366
"2017","W01000572","Pembrokeshire 005D",1848
"2017","W01000573","Pembrokeshire 006B",2496
"2017","W01000574","Pembrokeshire 015A",1748
"2017","W01000575","Pembrokeshire 008C",2648
"2017","W01000576","Pembrokeshire 011D",2200
"2017","W01000577","Pembrokeshire 007A",1633
"2017","W01000578","Pembrokeshire 014B",1651
"2017","W01000579","Pembrokeshire 003A",2474
"2017","W01000580","Pembrokeshire 009B",2429
"2017","W01000581","Pembrokeshire 003B",1451
"2017","W01000582","Pembrokeshire 004A",1656
"2017","W01000583","Pembrokeshire 004B",1405
"2017","W01000584","Pembrokeshire 014C",2079
"2017","W01000585","Pembrokeshire 007B",1415
"2017","W01000586","Pembrokeshire 006C",2221
"2017","W01000587","Pembrokeshire 010A",2046
"2017","W01000588","Pembrokeshire 010B",2309
"2017","W01000589","Pembrokeshire 012A",1178
"2017","W01000590","Pembrokeshire 012B",1060
"2017","W01000591","Pembrokeshire 012C",1680
"2017","W01000592","Pembrokeshire 012D",1372
