Period,Country,Area type,Area code,Area name,Sex,Life expectancy
2020 to 2022,England,Local Areas,E07000061,Eastbourne,Female,82.75
2020 to 2022,England,Local Areas,E07000062,Hastings,Male,76.67
2020 to 2022,England,Local Areas,E07000062,Hastings,Female,80.91
2020 to 2022,England,Local Areas,E07000063,Lewes,Male,80.72
2020 to 2022,England,Local Areas,E07000063,Lewes,Female,84.75
2020 to 2022,England,Local Areas,E07000064,Rother,Male,79.87
2020 to 2022,England,Local Areas,E07000064,Rother,Female,83.32
2020 to 2022,England,Local Areas,E07000065,Wealden,Male,81.51
2020 to 2022,England,Local Areas,E07000065,Wealden,Female,84.49
2020 to 2022,England,Local Areas,E07000066,Basildon,Male,78.84
2020 to 2022,England,Local Areas,E07000066,Basildon,Female,82.9
2020 to 2022,England,Local Areas,E07000067,Braintree,Male,79.92
2020 to 2022,England,Local Areas,E07000067,Braintree,Female,83.04
2020 to 2022,England,Local Areas,E07000068,Brentwood,Male,80.3
2020 to 2022,England,Local Areas,E07000068,Brentwood,Female,84.53
2020 to 2022,England,Local Areas,E07000069,Castle Point,Male,79.1
2020 to 2022,England,Local Areas,E07000069,Castle Point,Female,82.9
2020 to 2022,England,Local Areas,E07000070,Chelmsford,Male,80.96
2020 to 2022,England,Local Areas,E07000070,Chelmsford,Female,84.18
2020 to 2022,England,Local Areas,E07000071,Colchester,Male,79.71
2020 to 2022,England,Local Areas,E07000071,Colchester,Female,83.32
2020 to 2022,England,Local Areas,E07000072,Epping Forest,Male,80.09
2020 to 2022,England,Local Areas,E07000072,Epping Forest,Female,84.33
2020 to 2022,England,Local Areas,E07000073,Harlow,Male,78.84
2020 to 2022,England,Local Areas,E07000073,Harlow,Female,82.06
2020 to 2022,England,Local Areas,E07000074,Maldon,Male,80.49
2020 to 2022,England,Local Areas,E07000074,Maldon,Female,84.27
2020 to 2022,England,Local Areas,E07000075,Rochford,Male,80.34
2020 to 2022,England,Local Areas,E07000075,Rochford,Female,84.28
2020 to 2022,England,Local Areas,E07000076,Tendring,Male,77.61
2020 to 2022,England,Local Areas,E07000076,Tendring,Female,81.89
2020 to 2022,England,Local Areas,E07000077,Uttlesford,Male,82.69
2020 to 2022,England,Local Areas,E07000077,Uttlesford,Female,85.36
2020 to 2022,England,Local Areas,E07000078,Cheltenham,Male,79.5
2020 to 2022,England,Local Areas,E07000078,Cheltenham,Female,83.58
2020 to 2022,England,Local Areas,E07000079,Cotswold,Male,80.94
2020 to 2022,England,Local Areas,E07000079,Cotswold,Female,84.69
2020 to 2022,England,Local Areas,E07000080,Forest of Dean,Male,79.72
2020 to 2022,England,Local Areas,E07000080,Forest of Dean,Female,83.54
2020 to 2022,England,Local Areas,E07000081,Gloucester,Male,77.83
2020 to 2022,England,Local Areas,E07000081,Gloucester,Female,81.7
2020 to 2022,England,Local Areas,E07000082,Stroud,Male,80.61
2020 to 2022,England,Local Areas,E07000082,Stroud,Female,83.75
2020 to 2022,England,Local Areas,E07000083,Tewkesbury,Male,80.61
2020 to 2022,England,Local Areas,E07000083,Tewkesbury,Female,84.52
2020 to 2022,England,Local Areas,E07000084,Basingstoke and Deane,Male,80.85
2020 to 2022,England,Local Areas,E07000084,Basingstoke and Deane,Female,83.52
2020 to 2022,England,Local Areas,E07000085,East Hampshire,Male,82.31
2020 to 2022,England,Local Areas,E07000085,East Hampshire,Female,85.4
2020 to 2022,England,Local Areas,E07000086,Eastleigh,Male,81.42
2020 to 2022,England,Local Areas,E07000086,Eastleigh,Female,84.64
2020 to 2022,England,Local Areas,E07000087,Fareham,Male,81.4
2020 to 2022,England,Local Areas,E07000087,Fareham,Female,84.12
2020 to 2022,England,Local Areas,E07000088,Gosport,Male,79.26
