Period,Country,Area type,Area code,Area name,Sex,Life expectancy
2020 to 2022,England,Local Areas,E07000132,Hinckley and Bosworth,Male,80.5
2020 to 2022,England,Local Areas,E07000132,Hinckley and Bosworth,Female,83.32
2020 to 2022,England,Local Areas,E07000133,Melton,Male,79.43
2020 to 2022,England,Local Areas,E07000133,Melton,Female,83.9
2020 to 2022,England,Local Areas,E07000134,North West Leicestershire,Male,79.41
2020 to 2022,England,Local Areas,E07000134,North West Leicestershire,Female,82.45
2020 to 2022,England,Local Areas,E07000135,Oadby and Wigston,Male,79.48
2020 to 2022,England,Local Areas,E07000135,Oadby and Wigston,Female,83.82
2020 to 2022,England,Local Areas,E07000136,Boston,Male,76.45
2020 to 2022,England,Local Areas,E07000136,Boston,Female,81.34
2020 to 2022,England,Local Areas,E07000137,East Lindsey,Male,77.81
2020 to 2022,England,Local Areas,E07000137,East Lindsey,Female,80.81
2020 to 2022,England,Local Areas,E07000138,Lincoln,Male,75.83
2020 to 2022,England,Local Areas,E07000138,Lincoln,Female,80.96
2020 to 2022,England,Local Areas,E07000139,North Kesteven,Male,80.03
2020 to 2022,England,Local Areas,E07000139,North Kesteven,Female,83.86
2020 to 2022,England,Local Areas,E07000140,South Holland,Male,78.83
2020 to 2022,England,Local Areas,E07000140,South Holland,Female,83.04
2020 to 2022,England,Local Areas,E07000141,South Kesteven,Male,80.12
2020 to 2022,England,Local Areas,E07000141,South Kesteven,Female,83.95
2020 to 2022,England,Local Areas,E07000142,West Lindsey,Male,79.06
2020 to 2022,England,Local Areas,E07000142,West Lindsey,Female,83.59
2020 to 2022,England,Local Areas,E07000143,Breckland,Male,79.89
2020 to 2022,England,Local Areas,E07000143,Breckland,Female,83.57
2020 to 2022,England,Local Areas,E07000144,Broadland,Male,81.21
2020 to 2022,England,Local Areas,E07000144,Broadland,Female,83.68
2020 to 2022,England,Local Areas,E07000145,Great Yarmouth,Male,77.44
2020 to 2022,England,Local Areas,E07000145,Great Yarmouth,Female,81.48
2020 to 2022,England,Local Areas,E07000146,King’s Lynn and West Norfolk,Male,79.14
2020 to 2022,England,Local Areas,E07000146,King’s Lynn and West Norfolk,Female,83.21
2020 to 2022,England,Local Areas,E07000147,North Norfolk,Male,79.8
2020 to 2022,England,Local Areas,E07000147,North Norfolk,Female,83.51
2020 to 2022,England,Local Areas,E07000148,Norwich,Male,77.61
2020 to 2022,England,Local Areas,E07000148,Norwich,Female,82.32
2020 to 2022,England,Local Areas,E07000149,South Norfolk,Male,81.22
2020 to 2022,England,Local Areas,E07000149,South Norfolk,Female,84.37
2020 to 2022,England,Local Areas,E07000163,Craven,Male,80.74
2020 to 2022,England,Local Areas,E07000163,Craven,Female,84.89
2020 to 2022,England,Local Areas,E07000164,Hambleton,Male,81.01
2020 to 2022,England,Local Areas,E07000164,Hambleton,Female,85.15
2020 to 2022,England,Local Areas,E07000165,Harrogate,Male,80.84
2020 to 2022,England,Local Areas,E07000165,Harrogate,Female,84.21
2020 to 2022,England,Local Areas,E07000166,Richmondshire,Male,80.41
2020 to 2022,England,Local Areas,E07000166,Richmondshire,Female,84.38
2020 to 2022,England,Local Areas,E07000167,Ryedale,Male,80.83
2020 to 2022,England,Local Areas,E07000167,Ryedale,Female,84.88
2020 to 2022,England,Local Areas,E07000168,Scarborough,Male,77.86
2020 to 2022,England,Local Areas,E07000168,Scarborough,Female,81.91
2020 to 2022,England,Local Areas,E07000169,Selby,Male,80.3
2020 to 2022,England,Local Areas,E07000169,Selby,Female,83.77
2020 to 2022,England,Local Areas,E07000170,Ashfield,Male,77.09
2020 to 2022,England,Local Areas,E07000170,Ashfield,Female,81.64
2020 to 2022,England,Local Areas,E07000171,Bassetlaw,Male,78.44
2020 to 2022,England,Local Areas,E07000171,Bassetlaw,Female,81.98
2020 to 2022,England,Local Areas,E07000172,Broxtowe,Male,80.01
2020 to 2022,England,Local Areas,E07000172,Broxtowe,Female,82.76
2020 to 2022,England,Local Areas,E07000173,Gedling,Male,79.09
2020 to 2022,England,Local Areas,E07000173,Gedling,Female,83.3
2020 to 2022,England,Local Areas,E07000174,Mansfield,Male,76.81
2020 to 2022,England,Local Areas,E07000174,Mansfield,Female,81.06
2020 to 2022,England,Local Areas,E07000175,Newark and Sherwood,Male,79.03
2020 to 2022,England,Local Areas,E07000175,Newark and Sherwood,Female,82.45
2020 to 2022,England,Local Areas,E07000176,Rushcliffe,Male,81.63
2020 to 2022,England,Local Areas,E07000176,Rushcliffe,Female,85.02
2020 to 2022,England,Local Areas,E07000177,Cherwell,Male,80.58
2020 to 2022,England,Local Areas,E07000177,Cherwell,Female,83.9
2020 to 2022,England,Local Areas,E07000178,Oxford,Male,80.25
2020 to 2022,England,Local Areas,E07000178,Oxford,Female,83.92
2020 to 2022,England,Local Areas,E07000179,South Oxfordshire,Male,81.95
2020 to 2022,England,Local Areas,E07000179,South Oxfordshire,Female,85.63
2020 to 2022,England,Local Areas,E07000180,Vale of White Horse,Male,81.34
2020 to 2022,England,Local Areas,E07000180,Vale of White Horse,Female,85.34
2020 to 2022,England,Local Areas,E07000181,West Oxfordshire,Male,81.06
2020 to 2022,England,Local Areas,E07000181,West Oxfordshire,Female,85.05
2020 to 2022,England,Local Areas,E07000187,Mendip,Male,80.7
2020 to 2022,England,Local Areas,E07000187,Mendip,Female,84.02
2020 to 2022,England,Local Areas,E07000188,Sedgemoor,Male,79.19
2020 to 2022,England,Local Areas,E07000188,Sedgemoor,Female,83.32
2020 to 2022,England,Local Areas,E07000189,South Somerset,Male,80.53
2020 to 2022,England,Local Areas,E07000189,South Somerset,Female,84.21
2020 to 2022,England,Local Areas,E07000192,Cannock Chase,Male,77.91
2020 to 2022,England,Local Areas,E07000192,Cannock Chase,Female,81.76
2020 to 2022,England,Local Areas,E07000193,East Staffordshire,Male,78.17
2020 to 2022,England,Local Areas,E07000193,East Staffordshire,Female,82.08
2020 to 2022,England,Local Areas,E07000194,Lichfield,Male,80.52
2020 to 2022,England,Local Areas,E07000194,Lichfield,Female,83.36
2020 to 2022,England,Local Areas,E07000195,Newcastle-under-Lyme,Male,77.98
2020 to 2022,England,Local Areas,E07000195,Newcastle-under-Lyme,Female,82.02
2020 to 2022,England,Local Areas,E07000196,South Staffordshire,Male,79.83
2020 to 2022,England,Local Areas,E07000196,South Staffordshire,Female,83.31
2020 to 2022,England,Local Areas,E07000197,Stafford,Male,80.02
2020 to 2022,England,Local Areas,E07000197,Stafford,Female,83.86
