Location,Premise type,Rurality,Speed,% Premises,Premises,Date
Northern Ireland,All,Total,>=300 Mbit/s,94.2,837341,Jul-25
Northern Ireland,All,Total,Full Fibre,93.3,829190,Jul-25
Northern Ireland,All,Total,Gigabit capable,94.2,837339,Jul-25
Northern Ireland,All,Urban,Premise Base,100,618179,Jul-25
Northern Ireland,All,Urban,Unclassified,0.2,994,Jul-25
Northern Ireland,All,Urban,<2 Mbit/s,0,145,Jul-25
Northern Ireland,All,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.3,1898,Jul-25
Northern Ireland,All,Urban,>=10 Mbit/s,99.7,616386,Jul-25
Northern Ireland,All,Urban,>=24 Mbit/s,99.4,614568,Jul-25
Northern Ireland,All,Urban,>=30 Mbit/s,99.4,614336,Jul-25
Northern Ireland,All,Urban,>=100 Mbit/s,96,593687,Jul-25
Northern Ireland,All,Urban,>=300 Mbit/s,96,593668,Jul-25
Northern Ireland,All,Urban,Full Fibre,94.7,585552,Jul-25
Northern Ireland,All,Urban,Gigabit capable,96,593666,Jul-25
Northern Ireland,All,Rural,Premise Base,100,270351,Jul-25
Northern Ireland,All,Rural,Unclassified,0.4,995,Jul-25
Northern Ireland,All,Rural,<2 Mbit/s,0.9,2332,Jul-25
Northern Ireland,All,Rural,<10 Mbit/s DL or <1 Mbit/s UL,2.1,5709,Jul-25
Northern Ireland,All,Rural,>=10 Mbit/s,97.9,264704,Jul-25
Northern Ireland,All,Rural,>=24 Mbit/s,96.9,261874,Jul-25
Northern Ireland,All,Rural,>=30 Mbit/s,96.3,260465,Jul-25
Northern Ireland,All,Rural,>=100 Mbit/s,90.1,243674,Jul-25
Northern Ireland,All,Rural,>=300 Mbit/s,90.1,243673,Jul-25
Northern Ireland,All,Rural,Full Fibre,90.1,243638,Jul-25
Northern Ireland,All,Rural,Gigabit capable,90.1,243673,Jul-25
Northern Ireland,Residential,Total,Premise Base,100,826883,Jul-25
Northern Ireland,Residential,Total,Unclassified,0.2,1346,Jul-25
Northern Ireland,Residential,Total,<2 Mbit/s,0.3,2299,Jul-25
Northern Ireland,Residential,Total,<10 Mbit/s DL or <1 Mbit/s UL,0.7,6144,Jul-25
Northern Ireland,Residential,Total,>=10 Mbit/s,99.3,820808,Jul-25
Northern Ireland,Residential,Total,>=24 Mbit/s,98.9,817722,Jul-25
Northern Ireland,Residential,Total,>=30 Mbit/s,98.7,816327,Jul-25
Northern Ireland,Residential,Total,>=100 Mbit/s,95.8,792048,Jul-25
Northern Ireland,Residential,Total,>=300 Mbit/s,95.8,792046,Jul-25
Northern Ireland,Residential,Total,Full Fibre,94.9,784922,Jul-25
Northern Ireland,Residential,Total,Gigabit capable,95.8,792042,Jul-25
Northern Ireland,Residential,Urban,Premise Base,100,572311,Jul-25
Northern Ireland,Residential,Urban,Unclassified,0.1,554,Jul-25
Northern Ireland,Residential,Urban,<2 Mbit/s,0,98,Jul-25
Northern Ireland,Residential,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.2,978,Jul-25
Northern Ireland,Residential,Urban,>=10 Mbit/s,99.8,571346,Jul-25
Northern Ireland,Residential,Urban,>=24 Mbit/s,99.7,570828,Jul-25
Northern Ireland,Residential,Urban,>=30 Mbit/s,99.7,570703,Jul-25
Northern Ireland,Residential,Urban,>=100 Mbit/s,98,560752,Jul-25
Northern Ireland,Residential,Urban,>=300 Mbit/s,98,560750,Jul-25
Northern Ireland,Residential,Urban,Full Fibre,96.7,553661,Jul-25
Northern Ireland,Residential,Urban,Gigabit capable,98,560746,Jul-25
Northern Ireland,Residential,Rural,Premise Base,100,254572,Jul-25
Northern Ireland,Residential,Rural,Unclassified,0.3,792,Jul-25
Northern Ireland,Residential,Rural,<2 Mbit/s,0.9,2201,Jul-25
Northern Ireland,Residential,Rural,<10 Mbit/s DL or <1 Mbit/s UL,2,5166,Jul-25
Northern Ireland,Residential,Rural,>=10 Mbit/s,98,249462,Jul-25
Northern Ireland,Residential,Rural,>=24 Mbit/s,97,246894,Jul-25
Northern Ireland,Residential,Rural,>=30 Mbit/s,96.5,245624,Jul-25
Northern Ireland,Residential,Rural,>=100 Mbit/s,90.9,231296,Jul-25
Northern Ireland,Residential,Rural,>=300 Mbit/s,90.9,231296,Jul-25
Northern Ireland,Residential,Rural,Full Fibre,90.8,231261,Jul-25
Northern Ireland,Residential,Rural,Gigabit capable,90.9,231296,Jul-25
Northern Ireland,Commercial,Total,Premise Base,100,61647,Jul-25
Northern Ireland,Commercial,Total,Unclassified,1,643,Jul-25
Northern Ireland,Commercial,Total,<2 Mbit/s,0.3,178,Jul-25
Northern Ireland,Commercial,Total,<10 Mbit/s DL or <1 Mbit/s UL,2.4,1463,Jul-25
Northern Ireland,Commercial,Total,>=10 Mbit/s,97.8,60282,Jul-25
Northern Ireland,Commercial,Total,>=24 Mbit/s,95.3,58720,Jul-25
Northern Ireland,Commercial,Total,>=30 Mbit/s,94.9,58474,Jul-25
Northern Ireland,Commercial,Total,>=100 Mbit/s,73.5,45313,Jul-25
Northern Ireland,Commercial,Total,>=300 Mbit/s,73.5,45295,Jul-25
Northern Ireland,Commercial,Total,Full Fibre,71.8,44268,Jul-25
Northern Ireland,Commercial,Total,Gigabit capable,73.5,45297,Jul-25
Northern Ireland,Commercial,Urban,Premise Base,100,45868,Jul-25
Northern Ireland,Commercial,Urban,Unclassified,1,440,Jul-25
Northern Ireland,Commercial,Urban,<2 Mbit/s,0.1,47,Jul-25
Northern Ireland,Commercial,Urban,<10 Mbit/s DL or <1 Mbit/s UL,2,920,Jul-25
Northern Ireland,Commercial,Urban,>=10 Mbit/s,98.2,45040,Jul-25
Northern Ireland,Commercial,Urban,>=24 Mbit/s,95.4,43740,Jul-25
Northern Ireland,Commercial,Urban,>=30 Mbit/s,95.1,43633,Jul-25
Northern Ireland,Commercial,Urban,>=100 Mbit/s,71.8,32935,Jul-25
Northern Ireland,Commercial,Urban,>=300 Mbit/s,71.8,32918,Jul-25
Northern Ireland,Commercial,Urban,Full Fibre,69.5,31891,Jul-25
Northern Ireland,Commercial,Urban,Gigabit capable,71.8,32920,Jul-25
Northern Ireland,Commercial,Rural,Premise Base,100,15779,Jul-25
Northern Ireland,Commercial,Rural,Unclassified,1.3,203,Jul-25
Northern Ireland,Commercial,Rural,<2 Mbit/s,0.8,131,Jul-25
Northern Ireland,Commercial,Rural,<10 Mbit/s DL or <1 Mbit/s UL,3.4,543,Jul-25
Northern Ireland,Commercial,Rural,>=10 Mbit/s,96.6,15242,Jul-25
Northern Ireland,Commercial,Rural,>=24 Mbit/s,94.9,14980,Jul-25
Northern Ireland,Commercial,Rural,>=30 Mbit/s,94.1,14841,Jul-25
Northern Ireland,Commercial,Rural,>=100 Mbit/s,78.4,12378,Jul-25
Northern Ireland,Commercial,Rural,>=300 Mbit/s,78.4,12377,Jul-25
Northern Ireland,Commercial,Rural,Full Fibre,78.4,12377,Jul-25
Northern Ireland,Commercial,Rural,Gigabit capable,78.4,12377,Jul-25
Scotland,All,Total,Premise Base,100,2925198,Jul-25
Scotland,All,Total,Unclassified,0.3,8614,Jul-25
Scotland,All,Total,<2 Mbit/s,0.4,11661,Jul-25
Scotland,All,Total,<10 Mbit/s DL or <1 Mbit/s UL,1.9,55165,Jul-25
Scotland,All,Total,>=10 Mbit/s,98.2,2873126,Jul-25
Scotland,All,Total,>=24 Mbit/s,96.8,2831575,Jul-25
Scotland,All,Total,>=30 Mbit/s,96.4,2819696,Jul-25
Scotland,All,Total,>=100 Mbit/s,80.3,2348507,Jul-25
Scotland,All,Total,>=300 Mbit/s,80,2338942,Jul-25
Scotland,All,Total,Full Fibre,70,2047228,Jul-25
Scotland,All,Total,Gigabit capable,79.7,2329970,Jul-25
Scotland,All,Urban,Premise Base,100,2339137,Jul-25
Scotland,All,Urban,Unclassified,0.1,3297,Jul-25
Scotland,All,Urban,<2 Mbit/s,0,141,Jul-25
Scotland,All,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.3,7377,Jul-25
Scotland,All,Urban,>=10 Mbit/s,99.7,2332992,Jul-25
Scotland,All,Urban,>=24 Mbit/s,99.1,2318599,Jul-25
Scotland,All,Urban,>=30 Mbit/s,99,2315877,Jul-25
Scotland,All,Urban,>=100 Mbit/s,88,2057853,Jul-25
Scotland,All,Urban,>=300 Mbit/s,87.6,2048883,Jul-25
Scotland,All,Urban,Full Fibre,75.4,1762723,Jul-25
Scotland,All,Urban,Gigabit capable,87.2,2040253,Jul-25
Scotland,All,Rural,Premise Base,100,586061,Jul-25
Scotland,All,Rural,Unclassified,0.9,5317,Jul-25
Scotland,All,Rural,<2 Mbit/s,2,11520,Jul-25
Scotland,All,Rural,<10 Mbit/s DL or <1 Mbit/s UL,8.2,47788,Jul-25
Scotland,All,Rural,>=10 Mbit/s,92.2,540134,Jul-25
Scotland,All,Rural,>=24 Mbit/s,87.5,512976,Jul-25
Scotland,All,Rural,>=30 Mbit/s,86,503819,Jul-25
Scotland,All,Rural,>=100 Mbit/s,49.6,290654,Jul-25
Scotland,All,Rural,>=300 Mbit/s,49.5,290059,Jul-25
Scotland,All,Rural,Full Fibre,48.5,284505,Jul-25
Scotland,All,Rural,Gigabit capable,49.4,289717,Jul-25
Scotland,Residential,Total,Premise Base,100,2745277,Jul-25
Scotland,Residential,Total,Unclassified,0.2,6701,Jul-25
Scotland,Residential,Total,<2 Mbit/s,0.4,9906,Jul-25
Scotland,Residential,Total,<10 Mbit/s DL or <1 Mbit/s UL,1.6,45062,Jul-25
Scotland,Residential,Total,>=10 Mbit/s,98.5,2702743,Jul-25
Scotland,Residential,Total,>=24 Mbit/s,97.3,2670044,Jul-25
Scotland,Residential,Total,>=30 Mbit/s,96.9,2659789,Jul-25
Scotland,Residential,Total,>=100 Mbit/s,81.7,2243906,Jul-25
Scotland,Residential,Total,>=300 Mbit/s,81.4,2235475,Jul-25
Scotland,Residential,Total,Full Fibre,70.9,1947087,Jul-25
Scotland,Residential,Total,Gigabit capable,81.2,2228017,Jul-25
Scotland,Residential,Urban,Premise Base,100,2205527,Jul-25
Scotland,Residential,Urban,Unclassified,0.1,2579,Jul-25
Scotland,Residential,Urban,<2 Mbit/s,0,84,Jul-25
Scotland,Residential,Urban,<10 Mbit/s DL or <1 Mbit/s UL,0.2,4707,Jul-25
Scotland,Residential,Urban,>=10 Mbit/s,99.8,2201762,Jul-25
Scotland,Residential,Urban,>=24 Mbit/s,99.4,2192087,Jul-25
Scotland,Residential,Urban,>=30 Mbit/s,99.3,2189851,Jul-25
Scotland,Residential,Urban,>=100 Mbit/s,89.2,1967965,Jul-25
Scotland,Residential,Urban,>=300 Mbit/s,88.9,1960004,Jul-25
Scotland,Residential,Urban,Full Fibre,76,1677020,Jul-25
Scotland,Residential,Urban,Gigabit capable,88.5,1952802,Jul-25
Scotland,Residential,Rural,Premise Base,100,539750,Jul-25
Scotland,Residential,Rural,Unclassified,0.8,4122,Jul-25
Scotland,Residential,Rural,<2 Mbit/s,1.8,9822,Jul-25
Scotland,Residential,Rural,<10 Mbit/s DL or <1 Mbit/s UL,7.5,40355,Jul-25
Scotland,Residential,Rural,>=10 Mbit/s,92.8,500981,Jul-25
Scotland,Residential,Rural,>=24 Mbit/s,88.6,477957,Jul-25
Scotland,Residential,Rural,>=30 Mbit/s,87.1,469938,Jul-25
Scotland,Residential,Rural,>=100 Mbit/s,51.1,275941,Jul-25
Scotland,Residential,Rural,>=300 Mbit/s,51,275471,Jul-25
Scotland,Residential,Rural,Full Fibre,50,270067,Jul-25
Scotland,Residential,Rural,Gigabit capable,51,275215,Jul-25
Scotland,Commercial,Total,Premise Base,100,179921,Jul-25
Scotland,Commercial,Total,Unclassified,1.1,1913,Jul-25
Scotland,Commercial,Total,<2 Mbit/s,1,1755,Jul-25
Scotland,Commercial,Total,<10 Mbit/s DL or <1 Mbit/s UL,5.6,10103,Jul-25
Scotland,Commercial,Total,>=10 Mbit/s,94.7,170383,Jul-25
Scotland,Commercial,Total,>=24 Mbit/s,89.8,161531,Jul-25
Scotland,Commercial,Total,>=30 Mbit/s,88.9,159907,Jul-25
Scotland,Commercial,Total,>=100 Mbit/s,58.1,104601,Jul-25
Scotland,Commercial,Total,>=300 Mbit/s,57.5,103467,Jul-25
Scotland,Commercial,Total,Full Fibre,55.7,100141,Jul-25
Scotland,Commercial,Total,Gigabit capable,56.7,101953,Jul-25
Scotland,Commercial,Urban,Premise Base,100,133610,Jul-25
Scotland,Commercial,Urban,Unclassified,0.5,718,Jul-25
Scotland,Commercial,Urban,<2 Mbit/s,0,57,Jul-25
Scotland,Commercial,Urban,<10 Mbit/s DL or <1 Mbit/s UL,2,2670,Jul-25
Scotland,Commercial,Urban,>=10 Mbit/s,98.2,131230,Jul-25
Scotland,Commercial,Urban,>=24 Mbit/s,94.7,126512,Jul-25
Scotland,Commercial,Urban,>=30 Mbit/s,94.3,126026,Jul-25
Scotland,Commercial,Urban,>=100 Mbit/s,67.3,89888,Jul-25
Scotland,Commercial,Urban,>=300 Mbit/s,66.5,88879,Jul-25
Scotland,Commercial,Urban,Full Fibre,64.1,85703,Jul-25
Scotland,Commercial,Urban,Gigabit capable,65.5,87451,Jul-25
Scotland,Commercial,Rural,Premise Base,100,46311,Jul-25
Scotland,Commercial,Rural,Unclassified,2.6,1195,Jul-25
Scotland,Commercial,Rural,<2 Mbit/s,3.7,1698,Jul-25
Scotland,Commercial,Rural,<10 Mbit/s DL or <1 Mbit/s UL,16.1,7433,Jul-25
Scotland,Commercial,Rural,>=10 Mbit/s,84.5,39153,Jul-25
Scotland,Commercial,Rural,>=24 Mbit/s,75.6,35019,Jul-25
Scotland,Commercial,Rural,>=30 Mbit/s,73.2,33881,Jul-25
Scotland,Commercial,Rural,>=100 Mbit/s,31.8,14713,Jul-25
