"Table C2: Number of police recorded crimes for headline offences by Community Safety Partnership area, England and Wales, year ending June 2025 [note 1][note 2][note 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police recorded crime statistics are published as official statistics, not accredited official statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Police recorded crime from the Home Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Police Force
Area code","Police Force
Area name","Community Safety
Partnership code","Community Safety
Partnership name",Local Authority code,Local Authority name,"Total recorded crime
 (excluding fraud)",Violence against the person,Homicide,Death or serious injury caused by illegal driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
E23000035,Devon and Cornwall,E22000363,North Devon,Combined Local Authorities,,"9,618 ","4,269 ",0 ,1 ,"1,195 ","1,767 ","1,306 ",572 ,31 ,"2,190 ",319 ,185 ,134 ,137 ,63 ,41 ,934 ,696 ,"1,093 ",358 ,107 ,755 ,243 
E23000035,Devon and Cornwall,E22000056,Plymouth,E06000026,Plymouth,"25,767 ","11,192 ",2 ,16 ,"3,305 ","4,957 ","2,912 ","1,456 ",174 ,"5,968 ",566 ,417 ,149 ,898 ,228 ,119 ,"2,387 ","1,770 ","2,738 ","1,342 ",441 ,"1,860 ",596 
E23000035,Devon and Cornwall,E22000364,South Devon and Dartmoor,Combined Local Authorities,,"12,901 ","5,817 ",1 ,7 ,"1,601 ","2,336 ","1,872 ",729 ,41 ,"2,911 ",579 ,323 ,256 ,350 ,60 ,39 ,791 ,"1,092 ","1,568 ",431 ,164 ,872 ,368 
E23000035,Devon and Cornwall,E22000060,Torbay,E06000027,Torbay,"13,210 ","5,617 ",0 ,7 ,"1,685 ","2,459 ","1,466 ",607 ,94 ,"3,443 ",388 ,246 ,142 ,459 ,137 ,45 ,"1,373 ","1,041 ","1,431 ",710 ,145 ,863 ,300 
E23000035,Devon and Cornwall,,Unassigned Devon and Cornwall ,,,16 ,6 ,0 ,0 ,2 ,3 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,2 ,1 
E23000039,Dorset ,,,,,"50,079 ","19,451 ",6 ,5 ,"5,873 ","7,741 ","5,826 ","2,222 ",377 ,"16,865 ","2,558 ","1,630 ",928 ,"3,655 ",322 ,693 ,"5,304 ","4,333 ","5,090 ","1,187 ",433 ,"3,783 ",671 
E23000039,Dorset,E22000063,Bournemouth,E06000058,"Bournemouth, Christchurch and Poole","18,801 ","6,797 ",3 ,1 ,"2,154 ","2,857 ","1,782 ",775 ,201 ,"7,010 ",923 ,580 ,343 ,"1,610 ",182 ,330 ,"2,274 ","1,691 ","1,783 ",530 ,171 ,"1,319 ",215 
E23000039,Dorset,E22000367,Dorset,E06000059,Dorset,"21,200 ","8,701 ",2 ,2 ,"2,609 ","3,280 ","2,808 ",978 ,120 ,"6,441 ","1,022 ",618 ,404 ,"1,237 ",94 ,183 ,"2,075 ","1,830 ","2,287 ",438 ,181 ,"1,755 ",299 
E23000039,Dorset,E22000067,Poole,E06000058,"Bournemouth, Christchurch and Poole","9,539 ","3,693 ",1 ,0 ,"1,036 ","1,527 ","1,129 ",403 ,53 ,"3,332 ",598 ,423 ,175 ,795 ,44 ,173 ,944 ,778 ,991 ,201 ,69 ,668 ,129 
E23000039,Dorset,,Unassigned Dorset,,,539 ,260 ,0 ,2 ,74 ,77 ,107 ,66 ,3 ,82 ,15 ,9 ,6 ,13 ,2 ,7 ,11 ,34 ,29 ,18 ,12 ,41 ,28 
E23000008,Durham,,,,,"58,582 ","22,176 ",3 ,25 ,"5,294 ","9,553 ","7,301 ","2,311 ",280 ,"16,299 ","2,886 ","1,962 ",924 ,"2,458 ",141 ,302 ,"6,995 ","3,517 ","8,757 ","1,531 ",520 ,"4,652 ","2,056 "
E23000008,Durham,E22000365,County Durham,E06000047,County Durham,"47,963 ","18,151 ",2 ,22 ,"4,445 ","7,691 ","5,991 ","1,820 ",222 ,"13,291 ","2,445 ","1,674 ",771 ,"1,848 ",115 ,196 ,"5,807 ","2,880 ","7,309 ","1,181 ",410 ,"3,803 ","1,776 "
E23000008,Durham,E22000072,Darlington,E06000005,Darlington,"10,285 ","3,880 ",1 ,2 ,827 ,"1,825 ","1,225 ",431 ,56 ,"2,957 ",441 ,288 ,153 ,606 ,26 ,106 ,"1,161 ",617 ,"1,413 ",340 ,108 ,841 ,259 
E23000008,Durham,,Unassigned Durham,,,334 ,145 ,0 ,1 ,22 ,37 ,85 ,60 ,2 ,51 ,0 ,0 ,0 ,4 ,0 ,0 ,27 ,20 ,35 ,10 ,2 ,8 ,21 
W15000004,Dyfed-Powys,,,,,"37,349 ","17,559 ",4 ,31 ,"3,636 ","7,028 ","6,860 ","1,781 ",110 ,"6,709 ","1,553 ","1,078 ",475 ,704 ,142 ,130 ,"1,868 ","2,312 ","4,053 ","1,834 ",424 ,"3,797 ","1,082 "
W15000004,Dyfed-Powys,W14000010,Carmarthenshire,W06000010,Carmarthenshire,"12,888 ","6,036 ",2 ,5 ,"1,188 ","2,414 ","2,427 ",570 ,47 ,"2,405 ",526 ,370 ,156 ,267 ,51 ,43 ,745 ,773 ,"1,417 ",597 ,120 ,"1,247 ",449 
W15000004,Dyfed-Powys,W14000008,Ceredigion,W06000008,Ceredigion,"4,333 ","1,897 ",0 ,5 ,443 ,763 ,686 ,261 ,12 ,762 ,158 ,112 ,46 ,49 ,21 ,20 ,218 ,296 ,470 ,349 ,52 ,415 ,115 
W15000004,Dyfed-Powys,W14000009,Pembrokeshire,W06000009,Pembrokeshire,"9,368 ","4,508 ",1 ,7 ,947 ,"1,855 ","1,698 ",426 ,28 ,"1,672 ",374 ,259 ,115 ,137 ,32 ,26 ,531 ,572 ,"1,073 ",391 ,106 ,944 ,220 
