House of Commons General Election 2024 results by constituency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Note 1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS ID,ONS region ID,Constituency name,Region name,Country name,Constituency type,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,
E14001144,E12000002,Bury North,North West,England,Borough,James,Frith,Male,Lab gain from Con,Lab,Con,"77,686","45,520",174,"6,944","12,681","19,625","1,317","7,385","1,747",0,0,0,0,0,0,0,"2,765",0,
E14001145,E12000002,Bury South,North West,England,Borough,Christian,Wakeford,Male,Lab gain from Con,Lab,Con,"75,326","42,214",170,"9,361","9,886","19,247","1,796","6,865","2,715",0,0,0,0,0,0,0,"1,705",0,
E14001146,E12000006,Bury St Edmunds and Stowmarket,East of England,England,County,Peter,Prinsley,Male,Lab gain from Con,Lab,Con,"78,479","50,893",193,"1,452","15,293","16,745","3,154","8,595","5,761",0,0,0,0,0,0,0,"1,345",0,
W07000087,W92000004,Caerfyrddin,Wales,Wales,County,Ann,Davies,Female,PC gain from Con,PC,Lab,"74,005","45,604",187,"4,535","8,825","10,985","1,461","6,944","1,371",0,"15,520",0,0,0,0,0,498,0,
W07000088,W92000004,Caerphilly,Wales,Wales,County,Chris,Evans,Male,Lab hold,Lab,PC,"72,648","38,234",156,"6,419","4,385","14,538","1,788","7,754","1,650",0,"8,119",0,0,0,0,0,0,0,
S14000069,S92000003,"Caithness, Sutherland and Easter Ross",Scotland,Scotland,County,Jamie,Stone,Male,LD gain from SNP,LD,SNP,"74,627","46,048",122,"10,489","1,860","3,409","22,736","3,360","1,641","12,247",0,0,0,0,0,0,795,0,
E14001147,E12000003,Calder Valley,Yorkshire and The Humber,England,County,Josh,Fenton-Glynn,Male,Lab gain from Con,Lab,Con,"77,364","49,608",188,"8,991","13,055","22,046","2,587","7,644","3,701",0,0,0,0,0,0,0,575,0,
E14001148,E12000009,Camborne and Redruth,South West,England,County,Perran,Moon,Male,Lab gain from Con,Lab,Con,"74,342","47,785",196,"7,806","11,554","19,360","4,113","8,952","2,840",0,0,0,0,0,0,0,966,0,
E14001149,E12000006,Cambridge,East of England,England,Borough,Daniel,Zeichner,Male,Lab hold,Lab,LD,"70,321","42,100",372,"11,078","5,073","19,614","8,536",0,"6,842",0,0,0,0,0,0,0,"2,035",0,
E14001150,E12000005,Cannock Chase,West Midlands,England,County,Josh,Newbury,Male,Lab gain from Con,Lab,Con,"76,974","42,953",119,"3,125","12,546","15,671","1,029","11,570","2,137",0,0,0,0,0,0,0,0,0,
E14001151,E12000008,Canterbury,South East,England,County,Rosie,Duffield,Female,Lab hold,Lab,Con,"71,155","47,231",173,"8,653","10,878","19,531","3,812","6,805","5,920",0,0,0,0,0,0,0,285,0,
W07000089,W92000004,Cardiff East,Wales,Wales,Borough,Jo,Stevens,Female,Lab hold,Lab,LD,"72,876","39,123",172,"9,097","3,913","15,833","6,736","4,980","3,916",0,"3,550",0,0,0,0,0,195,0,
W07000090,W92000004,Cardiff North,Wales,Wales,Borough,Anna,McMorrin,Female,Lab hold,Lab,Con,"71,460","47,473",232,"11,207","9,642","20,849","3,168","5,985","3,160",0,"4,669",0,0,0,0,0,0,0,
